1, 25.01, 58.54, 8.31, 0.06, 2026-03-15 16:34:17
2, 29.10, 50.59, 8.40, 0.11, 2026-03-15 16:35:17
3, 30.76, 75.93, 8.36, 0.05, 2026-03-15 16:36:17
4, 29.97, 53.79, 7.51, 0.09, 2026-03-15 16:37:17
5, 25.64, 39.62, 7.67, 0.04, 2026-03-15 16:38:17
6, 31.92, 47.34, 7.50, 0.04, 2026-03-15 16:39:17
7, 25.06, 40.90, 8.07, 0.16, 2026-03-15 16:40:17
8, 29.21, 62.68, 8.16, 0.05, 2026-03-15 16:41:17
9, 28.16, 38.45, 8.11, 0.02, 2026-03-15 16:42:17
10, 30.48, 81.25, 7.80, 0.16, 2026-03-15 16:43:17
11, 31.13, 74.03, 8.43, 0.29, 2026-03-15 16:44:17
12, 28.78, 18.52, 7.74, 0.14, 2026-03-15 16:45:17
13, 31.04, 24.91, 8.34, 0.23, 2026-03-15 16:46:17
14, 31.98, 99.97, 7.89, 0.18, 2026-03-15 16:47:17
15, 26.86, 33.24, 7.52, 0.25, 2026-03-15 16:48:17
16, 27.63, 13.80, 7.56, 0.20, 2026-03-15 16:49:17
17, 25.06, 92.29, 7.77, 0.08, 2026-03-15 16:50:17
18, 29.12, 70.66, 8.23, 0.25, 2026-03-15 16:51:17
19, 28.39, 24.51, 7.97, 0.22, 2026-03-15 16:52:17
20, 28.21, 95.17, 7.61, 0.22, 2026-03-15 16:53:17
21, 29.19, 41.60, 8.11, 0.22, 2026-03-15 16:54:17
22, 29.01, 39.33, 7.73, 0.05, 2026-03-15 16:55:17
23, 27.98, 81.27, 8.49, 0.16, 2026-03-15 16:56:17
24, 30.26, 37.83, 8.16, 0.05, 2026-03-15 16:57:17
25, 28.44, 11.04, 8.00, 0.21, 2026-03-15 16:58:17
26, 26.03, 95.21, 8.41, 0.04, 2026-03-15 16:59:17
27, 29.85, 33.79, 7.57, 0.13, 2026-03-15 17:00:17
28, 31.77, 69.90, 8.38, 0.05, 2026-03-15 17:01:17
29, 30.75, 60.29, 7.68, 0.06, 2026-03-15 17:02:17
30, 30.72, 50.15, 8.00, 0.05, 2026-03-15 17:03:17
31, 30.12, 43.53, 8.07, 0.08, 2026-03-15 17:04:17
32, 29.78, 76.81, 7.98, 0.22, 2026-03-15 17:05:17
33, 25.86, 39.94, 7.54, 0.25, 2026-03-15 17:06:17
34, 28.62, 67.98, 7.60, 0.13, 2026-03-15 17:07:17
35, 31.65, 92.53, 7.85, 0.16, 2026-03-15 17:08:17
36, 28.30, 40.62, 7.82, 0.25, 2026-03-15 17:09:17
37, 28.19, 30.83, 7.80, 0.29, 2026-03-15 17:10:17
38, 30.17, 58.89, 8.26, 0.06, 2026-03-15 17:11:17
39, 30.88, 42.78, 8.39, 0.15, 2026-03-15 17:12:17
40, 25.19, 99.49, 7.55, 0.17, 2026-03-15 17:13:17
41, 28.72, 23.44, 8.13, 0.25, 2026-03-15 17:14:17
42, 29.60, 23.80, 7.62, 0.25, 2026-03-15 17:15:17
43, 25.77, 75.60, 8.44, 0.09, 2026-03-15 17:16:17
44, 27.00, 36.95, 8.23, 0.04, 2026-03-15 17:17:17
45, 30.84, 72.26, 8.25, 0.18, 2026-03-15 17:18:17
46, 26.77, 18.73, 7.56, 0.00, 2026-03-15 17:19:17
47, 30.64, 86.00, 7.62, 0.06, 2026-03-15 17:20:17
48, 28.87, 6.35, 7.95, 0.03, 2026-03-15 17:21:17
49, 30.27, 70.18, 7.57, 0.16, 2026-03-15 17:22:17
50, 28.06, 24.18, 7.79, 0.21, 2026-03-15 17:23:17
51, 28.06, 27.08, 8.03, 0.17, 2026-03-15 17:24:17
52, 29.40, 20.22, 8.46, 0.15, 2026-03-15 17:25:17
53, 29.87, 92.86, 7.84, 0.06, 2026-03-15 17:26:17
54, 26.25, 99.54, 8.50, 0.14, 2026-03-15 17:27:17
55, 25.68, 64.39, 7.94, 0.03, 2026-03-15 17:28:17
56, 31.52, 9.60, 7.79, 0.27, 2026-03-15 17:29:17
57, 26.59, 78.06, 7.70, 0.12, 2026-03-15 17:30:17
58, 29.40, 62.39, 7.97, 0.14, 2026-03-15 17:31:17
59, 29.18, 65.30, 8.33, 0.26, 2026-03-15 17:32:17
