1, 6.13, 39.87, 6.97, 0.25, 2026-03-16 15:45:30
2, 18.31, 37.08, 3.22, 0.63, 2026-03-16 15:46:30
3, 10.35, 71.58, 5.13, 0.06, 2026-03-16 15:47:30
4, 5.97, 27.23, 9.47, 0.73, 2026-03-16 15:48:30
5, 10.82, 94.02, 0.79, 0.72, 2026-03-16 15:49:30
6, 43.15, 96.51, 4.79, 0.79, 2026-03-16 15:50:30
7, 43.08, 50.63, 9.41, 0.24, 2026-03-16 15:51:30
8, 49.57, 14.43, 4.24, 0.09, 2026-03-16 15:52:30
9, 9.14, 48.41, 4.05, 0.83, 2026-03-16 15:53:30
10, 5.31, 51.01, 13.02, 0.03, 2026-03-16 15:54:30
11, 23.01, 84.94, 5.39, 0.12, 2026-03-16 15:55:30
12, 36.88, 59.96, 5.30, 0.59, 2026-03-16 15:56:30
13, 37.48, 87.75, 5.37, 0.94, 2026-03-16 15:57:30
14, 34.67, 74.40, 2.80, 0.53, 2026-03-16 15:58:30
15, 2.04, 66.34, 4.68, 0.83, 2026-03-16 15:59:30
16, 1.53, 15.08, 1.12, 0.09, 2026-03-16 16:00:30
17, 2.26, 76.61, 9.99, 0.02, 2026-03-16 16:01:30
18, 32.70, 11.02, 9.85, 0.38, 2026-03-16 16:02:30
19, 30.19, 97.81, 4.88, 0.19, 2026-03-16 16:03:30
20, 26.89, 32.80, 10.38, 0.41, 2026-03-16 16:04:30
21, 36.19, 21.99, 6.58, 0.76, 2026-03-16 16:05:30
22, 28.70, 38.19, 13.50, 0.67, 2026-03-16 16:06:30
23, 11.88, 55.95, 12.40, 0.82, 2026-03-16 16:07:30
24, 2.25, 30.41, 6.72, 0.43, 2026-03-16 16:08:30
25, 4.46, 35.73, 3.96, 0.72, 2026-03-16 16:09:30
26, 36.05, 28.76, 1.39, 0.61, 2026-03-16 16:10:30
27, 12.17, 53.50, 9.15, 0.24, 2026-03-16 16:11:30
28, 29.14, 51.93, 11.50, 0.25, 2026-03-16 16:12:30
29, 11.06, 97.07, 11.84, 0.42, 2026-03-16 16:13:30
30, 8.46, 13.59, 6.27, 0.68, 2026-03-16 16:14:30
31, 13.02, 1.81, 3.33, 0.00, 2026-03-16 16:15:30
32, 27.52, 30.66, 4.53, 0.26, 2026-03-16 16:16:30
33, 5.00, 15.13, 7.58, 0.50, 2026-03-16 16:17:30
34, 46.23, 44.01, 2.74, 0.75, 2026-03-16 16:18:30
35, 19.54, 73.40, 10.16, 0.86, 2026-03-16 16:19:30
36, 42.08, 51.65, 2.87, 0.33, 2026-03-16 16:20:30
37, 36.54, 91.43, 0.97, 0.81, 2026-03-16 16:21:30
38, 2.48, 54.42, 13.96, 0.20, 2026-03-16 16:22:30
39, 16.23, 64.39, 4.66, 0.81, 2026-03-16 16:23:30
40, 48.45, 14.20, 13.50, 0.87, 2026-03-16 16:24:30
41, 13.47, 82.34, 0.91, 0.58, 2026-03-16 16:25:30
42, 39.43, 24.66, 8.46, 0.03, 2026-03-16 16:26:30
43, 23.23, 57.06, 0.35, 0.31, 2026-03-16 16:27:30
44, 9.47, 94.39, 0.15, 0.02, 2026-03-16 16:28:30
45, 7.35, 61.63, 10.25, 0.50, 2026-03-16 16:29:30
46, 34.60, 42.64, 6.83, 0.01, 2026-03-16 16:30:30
47, 2.57, 82.30, 2.03, 0.34, 2026-03-16 16:31:30
48, 31.45, 7.53, 4.00, 0.72, 2026-03-16 16:32:30
49, 9.76, 82.96, 6.45, 0.85, 2026-03-16 16:33:30
50, 37.13, 66.73, 6.52, 0.81, 2026-03-16 16:34:30
51, 14.44, 82.13, 0.55, 0.53, 2026-03-16 16:35:30
52, 20.39, 70.70, 12.44, 0.87, 2026-03-16 16:36:30
53, 38.54, 42.37, 6.39, 0.68, 2026-03-16 16:37:30
54, 23.97, 88.34, 4.58, 0.08, 2026-03-16 16:38:30
55, 23.42, 72.24, 9.51, 0.33, 2026-03-16 16:39:30
56, 38.25, 65.24, 9.84, 0.43, 2026-03-16 16:40:30
